iter	Logloss
0	0.6757981262
1	0.6617189599
2	0.6454122531
3	0.6291953329
4	0.6161704997
5	0.6005321023
6	0.5861041783
7	0.5721822773
8	0.5607986713
9	0.549321612
10	0.5368082023
11	0.5240666698
12	0.5134113578
13	0.4996585444
14	0.4885467312
15	0.4777088095
16	0.4669655353
17	0.4563224705
18	0.4471214231
19	0.4368938193
20	0.4269966723
21	0.4193594033
22	0.4102604232
23	0.4017892113
24	0.3947552131
25	0.3879260127
26	0.381548803
27	0.3742390416
28	0.3674233924
29	0.3601434077
30	0.3532858874
31	0.3465763321
32	0.3410819089
33	0.3348227246
34	0.3298834641
35	0.3235426048
36	0.3177984908
37	0.3131968592
38	0.3078508703
39	0.3037558354
40	0.2992213873
41	0.294388799
42	0.289131927
43	0.2855219713
44	0.2811954679
45	0.2761781255
46	0.2720904932
47	0.2679857186
48	0.2648268788
49	0.2614845537
50	0.2582856593
51	0.2546306906
52	0.2517505141
53	0.2489300025
54	0.2462082003
55	0.2427681578
56	0.239648891
57	0.2372370579
58	0.2347666493
59	0.2323615521
60	0.2295758422
61	0.2273966207
62	0.2253461262
63	0.2231721689
64	0.2201227083
65	0.2182222353
66	0.2159758415
67	0.2136702115
68	0.2114158302
69	0.2085720545
70	0.2069994441
71	0.2055417832
72	0.2031489424
73	0.2017062144
74	0.1998781659
75	0.198067286
76	0.1960819926
77	0.1946534233
78	0.1930869896
79	0.1918715011
80	0.1906598067
81	0.1888279133
82	0.1877163421
83	0.1862451042
84	0.1851297038
85	0.1841312421
86	0.1827823131
87	0.1814371581
88	0.1805157961
89	0.1792510531
90	0.1776494621
91	0.1763047632
92	0.1751142427
93	0.1739931755
94	0.1731445965
95	0.1720991008
96	0.1711039195
97	0.1703483626
98	0.1695524041
99	0.1687726445
100	0.1678723076
101	0.1672003306
102	0.1665455909
103	0.1656903539
104	0.1647214342
105	0.1641457774
106	0.163545501
107	0.1625374288
108	0.1617688307
109	0.160798061
110	0.1603001171
111	0.1593538815
112	0.1588916962
113	0.1582141824
114	0.1576297764
115	0.1571674086
116	0.1567800432
117	0.1561483479
118	0.1552901081
119	0.1548857281
120	0.1544645241
121	0.1540282417
122	0.1532325736
123	0.1528356621
124	0.152329481
125	0.1517372238
126	0.1512876053
127	0.1506937318
128	0.1502854226
129	0.1498659206
130	0.1492728579
131	0.148825405
132	0.1483172546
133	0.1479045035
134	0.1475963766
135	0.1472928565
136	0.1470590147
137	0.1467908682
138	0.1462104827
139	0.1457265994
140	0.1454705463
141	0.1451303207
142	0.1447998542
143	0.1444589614
144	0.1440307312
145	0.1437593723
146	0.1435330465
147	0.1433417143
148	0.1428564001
149	0.1426747885
150	0.1424828906
151	0.1422977743
152	0.1419651449
153	0.1417879697
154	0.1415264054
155	0.1413504494
156	0.1412085522
157	0.1409663556
158	0.140550424
159	0.1403306522
160	0.1401926914
161	0.1399681607
162	0.1395939959
163	0.1394564375
164	0.1391322337
165	0.1390138238
166	0.1387977526
167	0.1385989444
168	0.1383997693
169	0.1380678918
170	0.1379463553
171	0.1376231686
172	0.1373111712
173	0.1371406842
174	0.136970186
175	0.1366686413
176	0.1363754184
177	0.1361815935
178	0.1360935204
179	0.1359792123
180	0.1357756032
181	0.1355353189
182	0.135405415
183	0.1353257378
184	0.1352282998
185	0.1349645086
186	0.1348343669
187	0.1346215488
188	0.1345044549
189	0.1343898898
190	0.1342350284
191	0.1341534842
192	0.1340325506
193	0.1339236251
194	0.1338526835
195	0.1337367255
196	0.1335911895
197	0.1333847078
198	0.1332870561
199	0.1330880066
200	0.1329579063
201	0.1328757301
202	0.1326758667
203	0.132590814
204	0.1324148212
205	0.1322303993
206	0.1321478088
207	0.1320982831
208	0.1319867101
209	0.1318234265
210	0.1316761136
211	0.1315185577
212	0.1313561859
213	0.1313064901
214	0.1312252537
215	0.1311871506
216	0.1311224768
217	0.1310646325
218	0.1310228996
219	0.1308712448
220	0.1308349042
221	0.130797713
222	0.1306620029
223	0.1305325027
224	0.1304168531
225	0.1303404484
226	0.1303123869
227	0.1302730646
228	0.1302437068
229	0.1301973258
230	0.1301442792
231	0.1300938187
232	0.1299734929
233	0.1298500877
234	0.1297380638
235	0.1297076647
236	0.1296620388
237	0.1295473996
238	0.1294281803
239	0.1294033261
240	0.1292891499
241	0.1292374317
242	0.1291250219
243	0.1291069765
244	0.1290811102
245	0.1290580674
246	0.1290338734
247	0.1290134269
248	0.1289500151
249	0.1289123737
250	0.1288554648
251	0.1287695167
252	0.1287555568
253	0.1286606372
254	0.1285667791
255	0.1285367697
256	0.1285049598
257	0.1284919562
258	0.1284452254
259	0.1283949024
260	0.1283112343
261	0.1282881979
262	0.1282391554
263	0.1281971982
264	0.1281648662
265	0.1281415419
266	0.1280975887
267	0.1280769779
268	0.12803929
269	0.1280023871
270	0.127921869
271	0.127903652
272	0.1278885637
273	0.1278159314
274	0.1278015803
275	0.1277402808
276	0.1277231596
277	0.1276534188
278	0.1276164151
279	0.1276032812
280	0.1275319972
281	0.1274662318
282	0.1274532906
283	0.1274446267
284	0.1274245312
285	0.1274118971
286	0.127377342
287	0.127355681
288	0.1272864725
289	0.1272212525
290	0.1271570634
291	0.1271411488
292	0.1271332739
293	0.1271244424
294	0.1270549639
295	0.1270454321
296	0.1270345588
297	0.1269737616
298	0.1269180062
299	0.1268572558
300	0.126805341
301	0.126753487
302	0.1267425919
303	0.1267375442
304	0.1266821762
305	0.1266288134
306	0.1266167328
307	0.1266006799
308	0.1265720951
309	0.1265614139
310	0.126548506
311	0.1265198922
312	0.1265031944
313	0.1264512929
314	0.1264389708
315	0.1264332365
316	0.1263842919
317	0.1263697533
318	0.1263552337
319	0.1263493636
320	0.1263296049
321	0.1263072078
322	0.1262560733
323	0.126245777
324	0.1262210416
325	0.1261761395
