iter	Passed	Remaining
415	3302	76077
416	3311	76092
417	3319	76090
418	3328	76119
419	3336	76102
420	3344	76107
421	3352	76089
422	3360	76089
423	3368	76070
424	3377	76086
425	3384	76066
426	3392	76063
427	3400	76040
428	3408	76046
429	3415	76023
430	3424	76019
431	3431	76002
432	3439	75991
433	3447	75987
434	3455	75972
435	3463	75977
436	3473	76005
437	3480	75987
438	3489	76006
439	3497	75986
440	3505	75976
441	3513	75967
442	3521	75980
443	3529	75971
444	3538	75984
445	3547	75983
446	3556	75996
447	3563	75984
448	3572	75985
449	3580	75985
450	3589	76009
451	3598	76004
452	3607	76025
453	3615	76011
454	3623	76019
455	3631	76001
456	3640	76026
457	3648	76010
458	3657	76027
459	3665	76019
460	3675	76050
461	3682	76032
462	3690	76024
463	3698	76005
464	3706	76009
465	3714	75988
466	3722	75986
467	3729	75964
468	3738	75973
469	3745	75948
470	3755	75971
471	3762	75957
472	3771	75968
473	3779	75954
474	3787	75945
475	3794	75917
476	3804	75946
477	3811	75922
478	3819	75915
479	3826	75889
480	3834	75888
481	3842	75874
482	3850	75878
483	3858	75867
484	3866	75861
485	3873	75835
486	3881	75824
487	3888	75803
488	3896	75783
489	3903	75758
490	3910	75729
491	3918	75722
492	3925	75702
493	3933	75694
494	3940	75665
495	3948	75656
496	3955	75628
497	3962	75611
498	3969	75571
499	3974	75524
500	3982	75500
501	3988	75461
502	3996	75455
503	4002	75411
504	4008	75370
505	4015	75343
506	4021	75298
507	4029	75290
508	4035	75248
509	4042	75216
510	4049	75204
511	4055	75160
512	4063	75153
513	4070	75130
514	4078	75109
515	4084	75069
516	4090	75032
517	4098	75031
518	4105	74993
519	4113	74997
520	4121	74982
521	4130	74999
522	4138	74993
523	4147	75009
524	4155	74998
525	4164	75004
526	4172	75005
527	4180	75001
528	4189	75002
529	4197	74999
530	4203	74963
531	4210	74938
532	4216	74897
533	4223	74871
534	4229	74828
535	4235	74784
536	4243	74772
537	4249	74738
538	4257	74726
539	4264	74702
540	4271	74685
541	4278	74654
542	4284	74623
543	4292	74615
544	4298	74576
545	4305	74553
546	4311	74511
547	4319	74495
548	4326	74475
549	4332	74439
550	4340	74431
551	4346	74398
552	4353	74377
553	4360	74343
554	4370	74372
555	4378	74363
556	4384	74332
557	4391	74301
558	4398	74284
559	4404	74249
560	4411	74229
561	4418	74195
562	4424	74164
563	4431	74148
564	4438	74118
565	4445	74098
566	4452	74068
567	4460	74072
568	4467	74050
569	4474	74021
570	4480	73989
571	4486	73948
572	4494	73938
573	4500	73899
574	4506	73864
575	4513	73840
576	4519	73805
577	4526	73782
578	4531	73740
579	4537	73700
580	4545	73685
581	4551	73645
582	4558	73625
583	4564	73596
584	4571	73570
585	4578	73544
586	4583	73506
587	4590	73480
588	4597	73465
589	4605	73457
590	4611	73424
591	4618	73392
592	4625	73376
593	4631	73336
594	4637	73307
595	4643	73273
596	4649	73235
597	4657	73227
598	4663	73188
599	4669	73157
600	4676	73141
601	4682	73102
602	4690	73095
603	4696	73058
604	4704	73049
605	4710	73016
606	4716	72979
607	4722	72957
608	4729	72931
609	4736	72909
610	4742	72872
611	4747	72832
612	4756	72843
613	4763	72814
614	4771	72813
615	4777	72783
616	4784	72757
617	4790	72723
618	4796	72684
619	4804	72693
620	4810	72655
621	4817	72637
622	4823	72605
623	4829	72568
624	4837	72569
625	4843	72533
626	4850	72516
627	4856	72480
628	4862	72448
629	4871	72447
630	4877	72417
631	4884	72399
632	4890	72362
633	4895	72325
634	4903	72313
635	4909	72277
636	4916	72269
637	4923	72241
638	4928	72204
639	4935	72179
640	4941	72144
641	4948	72127
642	4954	72093
643	4959	72054
644	4968	72055
645	4973	72018
646	4980	72003
647	4988	71991
648	4994	71956
649	5000	71935
650	5006	71900
651	5014	71899
652	5020	71865
653	5026	71829
654	5033	71820
655	5039	71784
656	5046	71763
657	5052	71730
658	5057	71694
659	5064	71672
660	5070	71635
661	5075	71600
662	5084	71600
663	5089	71566
664	5097	71563
665	5104	71544
666	5111	71525
667	5117	71494
668	5123	71462
669	5131	71464
670	5137	71429
671	5144	71409
672	5150	71377
673	5156	71343
674	5163	71327
675	5169	71296
676	5176	71281
677	5183	71265
678	5190	71251
679	5199	71259
680	5206	71253
681	5215	71263
682	5223	71259
683	5231	71254
684	5239	71245
685	5247	71249
686	5255	71241
687	5264	71257
688	5270	71229
689	5277	71213
690	5284	71186
691	5291	71170
692	5297	71140
693	5303	71121
694	5311	71117
695	5318	71090
696	5325	71080
697	5331	71052
698	5337	71026
699	5345	71015
700	5351	70991
701	5360	70998
702	5366	70970
703	5374	70963
704	5380	70933
705	5385	70900
706	5393	70889
707	5398	70857
708	5406	70849
709	5412	70821
710	5418	70790
711	5426	70789
712	5432	70761
713	5440	70752
714	5446	70723
715	5452	70704
716	5460	70701
717	5467	70677
718	5477	70706
719	5483	70675
720	5491	70672
721	5497	70642
722	5505	70638
723	5511	70608
724	5517	70581
725	5525	70578
726	5530	70548
727	5538	70543
728	5544	70510
729	5551	70490
730	5557	70467
731	5563	70438
732	5570	70424
733	5576	70396
734	5582	70373
735	5590	70361
736	5596	70335
737	5604	70331
738	5609	70301
739	5616	70287
740	5623	70269
741	5629	70239
742	5637	70234
743	5643	70205
744	5650	70190
745	5656	70163
746	5661	70133
747	5668	70116
748	5675	70099
749	5683	70091
750	5688	70061
751	5694	70032
752	5702	70031
753	5708	70004
754	5715	69989
755	5721	69962
756	5727	69934
757	5735	69926
758	5741	69903
759	5748	69895
760	5754	69866
761	5760	69835
762	5766	69815
763	5772	69787
764	5779	69767
765	5785	69739
766	5791	69715
767	5798	69699
768	5803	69669
769	5809	69638
770	5817	69633
771	5822	69602
772	5829	69589
773	5836	69570
774	5842	69541
775	5849	69527
776	5855	69499
777	5863	69499
778	5868	69469
779	5874	69440
780	5881	69424
781	5887	69396
782	5893	69379
783	5900	69356
784	5905	69328
785	5912	69312
786	5918	69282
787	5923	69252
788	5931	69240
789	5936	69211
790	5944	69205
791	5951	69189
792	5957	69163
793	5963	69147
794	5969	69120
795	5976	69105
796	5982	69080
797	5989	69067
798	6063	69820
799	6077	69893
800	6084	69879
801	6094	69898
802	6102	69896
803	6120	70008
804	6143	70172
805	6153	70198
806	6169	70285
807	6179	70299
808	6186	70287
809	6195	70287
810	6202	70276
811	6211	70287
812	6219	70278
813	6227	70274
814	6234	70263
815	6244	70278
816	6252	70281
817	6264	70323
818	6277	70370
819	6285	70366
820	6296	70393
821	6306	70411
822	6314	70411
823	6324	70426
824	6332	70428
825	6342	70442
826	6350	70442
827	6360	70452
828	6367	70438
829	6375	70436
830	6382	70424
831	6390	70421
832	6397	70398
833	6404	70390
834	6411	70367
835	6418	70356
836	6424	70332
837	6430	70307
838	6438	70304
839	6444	70278
840	6452	70273
841	6459	70260
842	6466	70246
843	6473	70224
844	6479	70204
845	6488	70209
846	6494	70186
847	6502	70178
848	6508	70156
849	6516	70147
850	6523	70131
851	6530	70115
852	6537	70106
853	6544	70090
854	6554	70101
855	6560	70084
856	6569	70084
857	6575	70064
858	6583	70062
859	6590	70042
860	6598	70036
861	6604	70018
862	6611	69997
863	6618	69988
864	6625	69968
865	6633	69962
866	6639	69940
867	6646	69925
868	6653	69908
869	6659	69886
870	6668	69892
871	6674	69872
872	6683	69873
873	6689	69850
874	6698	69851
875	6704	69829
876	6711	69818
877	6718	69803
878	6724	69778
879	6733	69784
880	6739	69760
881	6748	69768
882	6796	70177
883	6815	70278
884	6842	70472
885	6851	70482
886	6866	70542
887	6875	70550
888	6885	70567
889	6896	70595
890	6905	70592
891	6912	70581
892	6919	70567
893	6927	70559
894	6934	70544
895	6942	70539
896	6949	70525
897	6956	70505
898	6964	70503
899	6971	70485
900	6980	70491
901	6987	70477
902	6995	70477
903	7003	70468
904	7011	70467
905	7018	70452
906	7028	70458
907	7035	70444
908	7043	70441
909	7050	70425
910	7058	70426
911	7066	70413
912	7074	70409
913	7081	70394
914	7090	70397
915	7098	70391
916	7106	70390
917	7113	70377
918	7122	70382
919	7130	70370
920	7138	70370
921	7146	70364
922	7155	70371
923	7163	70367
924	7173	70378
925	7181	70372
926	7190	70376
927	7197	70365
928	7207	70374
929	7215	70370
930	7224	70372
931	7232	70366
932	7241	70372
933	7248	70363
934	7257	70367
935	7265	70358
936	7273	70356
937	7281	70344
938	7291	70357
939	7302	70380
940	7316	70439
941	7326	70445
942	7334	70442
943	7341	70431
944	7350	70436
945	7358	70430
946	7371	70464
947	7380	70468
948	7389	70476
949	7398	70478
950	7406	70478
951	7416	70484
952	7424	70481
953	7434	70491
954	7442	70486
955	7450	70485
956	7457	70464
957	7464	70449
958	7472	70443
959	7481	70447
960	7488	70436
961	7497	70434
962	7504	70419
963	7512	70417
964	7521	70419
965	7528	70405
966	7535	70393
967	7542	70376
968	7550	70372
969	7558	70360
970	7566	70354
971	7573	70347
972	7582	70341
973	7589	70328
974	7597	70323
975	7604	70306
976	7612	70303
977	7620	70299
978	7629	70300
979	7636	70285
980	7644	70280
981	7651	70264
982	7659	70258
983	7667	70253
984	7675	70250
985	7683	70240
986	7690	70226
987	7698	70221
988	7705	70208
989	7714	70206
990	7721	70195
991	7729	70192
992	7737	70181
993	7746	70181
994	7753	70167
995	7761	70167
996	7768	70153
997	7776	70146
998	7783	70133
999	7792	70129
1000	7799	70120
1001	7808	70122
1002	7816	70112
1003	7824	70107
1004	7832	70099
1005	7840	70094
1006	7847	70081
1007	7854	70069
1008	7862	70060
1009	7869	70045
1010	7877	70044
1011	7885	70030
1012	7893	70025
1013	7900	70012
1014	7908	70009
1015	7915	69996
1016	7924	69997
1017	7932	69988
1018	7940	69985
1019	7947	69971
1020	7956	69972
1021	7963	69958
1022	7971	69951
1023	7978	69936
1024	7986	69929
1025	7993	69915
1026	8000	69903
1027	8008	69896
1028	8016	69885
1029	8024	69879
1030	8031	69867
1031	8039	69861
1032	8046	69850
1033	8054	69843
1034	8062	69832
1035	8070	69829
1036	8078	69821
1037	8086	69814
1038	8093	69803
1039	8101	69800
1040	8109	69791
1041	8118	69791
1042	8125	69781
1043	8133	69774
1044	8141	69769
1045	8153	69791
1046	8162	69795
1047	8199	70042
1048	8219	70138
1049	8268	70476
1050	8276	70471
1051	8288	70495
1052	8299	70516
1053	8308	70521
1054	8319	70536
1055	8327	70528
1056	8335	70528
1057	8344	70522
1058	8353	70530
1059	8362	70528
1060	8370	70523
1061	8379	70522
1062	8389	70533
1063	8399	70545
1064	8407	70535
1065	8416	70536
1066	8424	70528
1067	8432	70526
1068	8441	70527
1069	8452	70539
1070	8462	70548
1071	8469	70541
1072	8479	70547
1073	8488	70544
