iter	Passed	Remaining
0	2	29577
1	6	30089
2	9	31874
3	12	31923
4	16	32129
5	19	31906
6	22	32303
7	25	32038
8	29	32477
9	33	33075
10	36	33277
11	39	32822
12	42	32907
13	45	32716
14	49	32647
15	52	32938
16	55	32703
17	59	32956
18	62	32808
19	65	32517
20	68	32328
21	70	32124
22	74	32169
23	76	31959
24	79	31615
25	81	31264
26	83	31018
27	86	30743
28	89	30812
29	92	30690
30	94	30544
31	97	30437
32	100	30342
33	103	30233
34	106	30310
35	109	30228
36	112	30172
37	114	30106
38	117	30047
39	120	30029
40	123	30067
41	126	29990
42	129	29977
43	132	29942
44	135	29914
45	138	30020
46	142	30107
47	145	30174
48	148	30191
49	151	30179
50	155	30249
51	158	30279
52	161	30226
53	163	30140
54	166	30127
55	170	30320
56	174	30377
57	178	30546
58	181	30576
59	184	30632
60	189	30803
61	192	30861
62	196	30940
63	200	31088
64	204	31235
65	207	31246
66	210	31243
67	213	31180
68	217	31371
69	221	31380
70	224	31406
71	227	31362
72	230	31291
73	233	31377
74	236	31332
75	239	31293
76	242	31232
77	245	31207
78	248	31266
79	251	31221
80	254	31178
81	257	31134
82	260	31095
83	263	31147
84	266	31117
85	269	31073
86	272	31021
87	275	30989
88	278	30964
89	281	31033
90	284	31027
91	287	31007
92	290	30985
93	293	30963
94	298	31115
95	301	31132
96	304	31123
97	307	31078
98	310	31046
99	314	31171
100	317	31160
101	321	31165
102	324	31148
103	327	31153
104	330	31144
105	333	31152
106	336	31138
107	339	31108
108	342	31089
109	345	31077
110	348	31051
111	351	31028
112	354	31008
113	357	30986
114	361	31079
115	364	31064
116	367	31042
117	370	31024
118	373	31000
119	377	31065
120	380	31063
121	383	31053
122	386	31032
123	389	31014
124	392	31019
125	395	31029
126	398	31014
127	401	30992
128	404	30972
129	408	31038
130	411	31018
131	414	30990
132	417	30964
133	420	30944
134	423	30965
135	426	30953
136	429	30935
137	432	30916
138	435	30901
139	439	30928
140	460	32213
141	464	32267
142	467	32259
143	471	32259
144	474	32219
145	476	32177
146	479	32143
147	482	32103
148	485	32071
149	489	32121
150	491	32089
151	494	32058
152	497	32028
153	500	31996
154	503	32005
155	506	31970
156	509	31926
157	511	31876
158	514	31823
159	516	31772
160	519	31751
161	521	31698
162	524	31638
163	526	31584
164	529	31535
165	531	31491
166	534	31479
167	537	31475
168	540	31449
169	543	31437
170	546	31411
171	549	31393
172	552	31358
173	554	31311
174	556	31257
175	559	31212
176	561	31168
177	564	31122
178	567	31109
179	569	31069
180	571	31023
181	574	30974
182	576	30948
183	579	30917
184	582	30907
185	585	30873
186	587	30825
187	589	30778
188	592	30746
189	595	30727
190	598	30739
191	601	30707
192	603	30664
