iter	Logloss
0	0.6849794385
1	0.6767090647
2	0.6691554433
3	0.6607641555
4	0.6526111651
5	0.6446332795
6	0.63741433
7	0.630013688
8	0.6231057339
9	0.6158539086
10	0.609404727
11	0.6025921853
12	0.5962178846
13	0.589714939
14	0.5835081385
15	0.5780094326
16	0.5724451283
17	0.5664977222
18	0.5610516051
19	0.5559836816
20	0.5509929161
21	0.5455965483
22	0.540731358
23	0.5355960512
24	0.5305946286
25	0.5262268894
26	0.5215804122
27	0.5174926741
28	0.5133331465
29	0.508866725
30	0.5047209753
31	0.5007556622
32	0.4969985774
33	0.4931821239
34	0.4892522077
35	0.4854889404
36	0.482010366
37	0.4789172392
38	0.4754261002
39	0.4719078112
40	0.4688565388
41	0.4659282082
42	0.4627509496
43	0.459901328
44	0.4567992415
45	0.4540081648
46	0.4515673561
47	0.4490324456
48	0.4463478246
49	0.4436725455
50	0.4412550402
51	0.4387195655
52	0.436217067
53	0.4336263666
54	0.4314645928
55	0.4294405073
56	0.4272843881
57	0.4252030813
58	0.4232944736
59	0.4211464581
60	0.4193158489
61	0.4172946116
62	0.4153278596
63	0.4133832057
64	0.4113374319
65	0.4097032916
66	0.4079212932
67	0.40624552
68	0.4046122069
69	0.4028938561
70	0.401204252
71	0.3996499594
72	0.3980454065
73	0.3967441013
74	0.3954174659
75	0.393893761
76	0.3924183681
77	0.3912406999
78	0.3897601008
79	0.3883974472
80	0.3869071007
81	0.3856242562
82	0.3842626305
83	0.3831318585
84	0.3821170909
85	0.3808094013
86	0.3796283754
87	0.3784521833
88	0.3772224814
89	0.3761003644
90	0.3749190118
91	0.3740300986
92	0.3729010353
93	0.3718775038
94	0.3708939208
95	0.3700595361
96	0.3691866083
97	0.3683914609
98	0.3674540403
99	0.3665153969
100	0.3655987328
101	0.3647868742
102	0.3640055521
103	0.3632059922
104	0.3623861474
105	0.3614531891
106	0.3606272197
107	0.3597825738
108	0.3589843916
109	0.3582848296
110	0.3575039542
111	0.3567416502
112	0.3559989566
113	0.3552426929
114	0.3546164704
115	0.3539943448
116	0.3533148453
117	0.3527805531
118	0.3522052066
119	0.3515391521
120	0.3508446407
121	0.350253392
122	0.349756413
123	0.3492433058
124	0.3487984194
125	0.3481391286
126	0.347542821
127	0.3468791399
128	0.3463024725
129	0.3458071908
130	0.3451785598
131	0.3446687106
132	0.3440899818
133	0.3436681718
134	0.3431981776
135	0.3426553957
136	0.3421788103
137	0.341735787
138	0.3412284201
139	0.3407192608
140	0.3402251873
141	0.3398205593
142	0.3393634987
143	0.3389121551
144	0.3384620701
145	0.3380984822
146	0.3377246984
147	0.3372198467
148	0.3367952179
149	0.3363756605
150	0.3360476541
151	0.3357236977
152	0.3353438566
153	0.3350084479
154	0.3346772405
155	0.3342812807
156	0.3338730239
157	0.3335514917
158	0.3331487404
159	0.3327470079
160	0.3323653815
161	0.3320351964
162	0.331737313
163	0.3313622246
164	0.3310026677
165	0.3306912893
166	0.3303003366
167	0.3300424261
168	0.3296942148
169	0.3294013883
170	0.329069419
171	0.3287240178
172	0.3284598122
173	0.3281792174
174	0.3278222257
175	0.3275100918
176	0.3272017809
177	0.3268743408
178	0.3266262393
179	0.3263335325
180	0.3260890309
181	0.3258479174
182	0.3255800984
183	0.3252970436
184	0.3249964776
185	0.3246679687
186	0.324430025
187	0.3241722412
188	0.3239316399
189	0.3236214689
190	0.3234301916
191	0.3231488071
192	0.3229342214
193	0.3227460079
194	0.3224885306
195	0.3222135221
196	0.3220009588
197	0.3217918138
198	0.3215242693
199	0.3213453083
200	0.3210839014
201	0.3209068733
202	0.3207026722
203	0.3204360873
204	0.320164895
205	0.319910629
206	0.3197155923
207	0.3195214432
208	0.3192978689
209	0.3190696301
210	0.3188815471
211	0.3187002595
212	0.3184767558
213	0.31825782
214	0.3180300503
215	0.3178344692
216	0.3175849204
217	0.3173897663
218	0.3171989515
219	0.3169814446
220	0.3167942095
221	0.3166050747
222	0.3164049442
223	0.3162393431
224	0.3160662892
225	0.3158618657
226	0.3156975908
227	0.315485181
228	0.3153037228
229	0.3150992634
230	0.3148941192
231	0.314705426
232	0.3145318436
233	0.3142905755
234	0.3141294476
235	0.3139228859
236	0.3137395089
237	0.3135410878
238	0.3133093946
239	0.3130772479
240	0.3128812938
241	0.3127224082
242	0.3125106283
243	0.3123894183
244	0.3122341616
245	0.312061065
246	0.311839501
247	0.3116531691
248	0.3114705664
249	0.3113155338
250	0.3111087431
251	0.3109512946
252	0.3107859904
253	0.3105905174
254	0.3104334959
255	0.3102609217
256	0.3100943942
257	0.3099318449
258	0.3097843164
